index  name        lat               lon              x_m        y_m
--------------------------------------------------------------------------------
    0  enter            51.42421477       -2.66866554      66.41      78.44
    1  W3_0             51.42414428       -2.66885220      53.47      70.60
    2  W4_0             51.42351873       -2.67114252    -105.34       1.04
    3  W0_0             51.42330877       -2.67088742     -87.65     -22.30
    4  W1_0             51.42293168       -2.67003475     -28.53     -64.23
    5  W2_0             51.42339401       -2.66828590      92.73     -12.83
    6  W3_1             51.42404660       -2.66877847      58.58      59.74
    7  W4_1             51.42347480       -2.67087201     -86.58      -3.84
    8  W0_1             51.42338719       -2.67076556     -79.20     -13.59
    9  W1_1             51.42305454       -2.67001340     -27.05     -50.57
   10  W2_1             51.42344957       -2.66851912      76.56      -6.65
   11  W3_2             51.42390560       -2.66886333      52.70      44.06
   12  W4_2             51.42343700       -2.67057903     -66.27      -8.05
   13  W1_2             51.42317740       -2.66999204     -25.57     -36.91
   14  W2_2             51.42350513       -2.66875234      60.39      -0.47
   15  W3_3             51.42376461       -2.66894819      46.81      28.38
   16  W4_3             51.42341468       -2.67022940     -42.02     -10.53
   17  W1_3             51.42330027       -2.66997069     -24.09     -23.25
   18  W2_3             51.42356070       -2.66898556      44.22       5.71
   19  W3_4             51.42362362       -2.66903305      40.93      12.71
   20  W4_4             51.42339236       -2.66987976     -17.78     -13.01
