index  name        lat               lon              x_m        y_m
--------------------------------------------------------------------------------
    0  enter            51.42421477       -2.66866554      66.41      78.44
    1  WP0              51.42413840       -2.66885573      53.22      69.95
    2  WP1              51.42402149       -2.66928379      23.54      56.95
    3  WP2              51.42402149       -2.66876749      59.34      56.95
    4  WP3              51.42390458       -2.66867925      65.46      43.95
    5  WP4              51.42390458       -2.66971184      -6.14      43.95
    6  WP5              51.42378767       -2.67013989     -35.82      30.95
    7  WP6              51.42378767       -2.66859100      71.58      30.95
    8  WP7              51.42367076       -2.66850276      77.70      17.95
    9  WP8              51.42367076       -2.67056794     -65.50      17.95
   10  WP9              51.42355384       -2.67099599     -95.18       4.95
   11  WP10             51.42355384       -2.66841452      83.81       4.95
   12  WP11             51.42343693       -2.66832627      89.93      -8.05
   13  WP12             51.42343693       -2.67103409     -97.82      -8.05
   14  WP13             51.42332002       -2.67089204     -87.97     -21.05
   15  WP14             51.42332002       -2.66858425      72.05     -21.05
   16  WP15             51.42320311       -2.66902650      41.38     -34.05
   17  WP16             51.42320311       -2.67063603     -70.22     -34.05
   18  WP17             51.42308620       -2.67037167     -51.89     -47.05
   19  WP18             51.42308620       -2.66946874      10.72     -47.05
   20  WP19             51.42296928       -2.66991098     -19.95     -60.05
   21  WP20             51.42296928       -2.67010731     -33.56     -60.05
   22  WP21             51.42293680       -2.67003386     -28.46     -63.66
