index  name         lat               lon              x_m        y_m
----------------------------------------------------------------------------------
    0  start             51.42364733       -2.67032097     -48.37      15.34
    1  plb_entry         51.42351727       -2.66971948      -6.67       0.88
    2  search_0          51.42351727       -2.67000405     -26.40       0.88
    3  search_1          51.42341834       -2.67018813     -39.16     -10.12
    4  search_2          51.42341834       -2.66946891      10.71     -10.12
    5  search_3          51.42331942       -2.66943477      13.07     -21.12
    6  search_4          51.42331942       -2.67014278     -36.02     -21.12
    7  search_5          51.42322049       -2.67009743     -32.87     -32.12
    8  search_6          51.42322049       -2.66948909       9.31     -32.12
    9  search_7          51.42314785       -2.66956678       3.92     -40.20
   10  search_8          51.42314785       -2.67006414     -30.56     -40.20
