index  name        lat               lon              x_m        y_m
--------------------------------------------------------------------------------
    0  enter            51.42421477       -2.66866554      66.41      78.44
    1  WP0              51.42416981       -2.66877583      58.76      73.44
    2  WP1              51.42416981       -2.66897440      44.99      73.44
    3  WP2              51.42407988       -2.66930367      22.16      63.44
    4  WP3              51.42407988       -2.66870795      63.47      63.44
    5  WP4              51.42398994       -2.66864007      68.18      53.44
    6  WP5              51.42398994       -2.66963294      -0.67      53.44
    7  WP6              51.42390001       -2.66996222     -23.50      43.44
    8  WP7              51.42390001       -2.66857219      72.88      43.44
    9  WP8              51.42381008       -2.66850431      77.59      33.44
   10  WP9              51.42381008       -2.67029149     -46.33      33.44
   11  WP10             51.42372015       -2.67062076     -69.16      23.44
   12  WP11             51.42372015       -2.66843643      82.30      23.44
   13  WP12             51.42363022       -2.66836855      87.00      13.44
   14  WP13             51.42363022       -2.67095003     -91.99      13.44
   15  WP14             51.42354028       -2.67127728    -114.68       3.44
   16  WP15             51.42354028       -2.66830067      91.71       3.44
   17  WP16             51.42345035       -2.66823279      96.42      -6.56
   18  WP17             51.42345035       -2.67116801    -107.10      -6.56
   19  WP18             51.42336042       -2.67105874     -99.53     -16.56
   20  WP19             51.42336042       -2.66819126      99.30     -16.56
   21  WP20             51.42327049       -2.66853145      75.71     -26.56
   22  WP21             51.42327049       -2.67094947     -91.95     -26.56
   23  WP22             51.42318055       -2.67074708     -77.92     -36.56
   24  WP23             51.42318055       -2.66887164      52.12     -36.56
   25  WP24             51.42309062       -2.66921182      28.53     -46.56
   26  WP25             51.42309062       -2.67054373     -63.82     -46.56
   27  WP26             51.42300069       -2.67034038     -49.72     -56.56
   28  WP27             51.42300069       -2.66955201       4.95     -56.56
   29  WP28             51.42291076       -2.66989220     -18.64     -66.56
   30  WP29             51.42291076       -2.67013702     -35.62     -66.56
