index  name        lat               lon              x_m        y_m
--------------------------------------------------------------------------------
    0  enter            51.42421477       -2.66866554      66.41      78.44
    1  W3_0             51.42415603       -2.66884513      53.96      71.91
    2  W4_0             51.42352239       -2.67116507    -106.90       1.45
    3  W0_0             51.42330224       -2.67089757     -88.35     -23.03
    4  W1_0             51.42292144       -2.67003653     -28.65     -65.37
    5  W2_0             51.42338938       -2.66826647      94.08     -13.34
    6  W3_1             51.42407463       -2.66878369      58.22      62.85
    7  W4_1             51.42348578       -2.67093964     -91.27      -2.62
    8  W0_1             51.42336758       -2.67079603     -81.31     -15.77
    9  W1_1             51.42302383       -2.67001874     -27.42     -53.99
   10  W2_1             51.42343568       -2.66846082      80.61      -8.19
   11  W3_2             51.42395713       -2.66885440      53.31      49.79
   12  W4_2             51.42344917       -2.67071421     -75.64      -6.69
   13  W0_2             51.42343293       -2.67069448     -74.27      -8.50
   14  W1_2             51.42312621       -2.67000094     -26.18     -42.60
   15  W2_2             51.42348198       -2.66865517      67.13      -3.04
   16  W3_3             51.42383964       -2.66892512      48.41      36.73
   17  W4_3             51.42341256       -2.67048879     -60.01     -10.76
   18  W1_3             51.42322860       -2.66998315     -24.95     -31.22
   19  W2_3             51.42352828       -2.66884951      53.65       2.10
   20  W3_4             51.42372214       -2.66899583      43.51      23.66
   21  W4_4             51.42337595       -2.67026336     -44.38     -14.83
   22  W1_4             51.42333098       -2.66996535     -23.71     -19.83
   23  W2_4             51.42357459       -2.66904386      40.18       7.25
   24  W3_5             51.42360465       -2.66906655      38.60      10.60
   25  centre           51.42350936       -2.66962333       0.00       0.00
