spacing,algorithm,total_distance,waypoints
4.0,spiral,1700.4849074355798,53
4.1,spiral,1650.0607738925494,51
4.2,spiral,1657.31764533404,51
4.3,spiral,1636.9301648950418,51
4.4,spiral,1562.154093876958,52
4.5,spiral,1552.116324432034,52
4.6,spiral,1557.0837359526633,46
4.7,spiral,1529.201250359092,48
4.8,spiral,1515.5309124982564,45
4.9,spiral,1482.196229711839,47
5.0,spiral,1495.829163547531,45
5.1,spiral,1477.137509739682,41
5.2,spiral,1448.1116294791789,45
5.3,spiral,1451.6110964424058,42
5.4,spiral,1424.7114644568328,41
5.5,spiral,1386.3509174862836,40
5.6,spiral,1394.4946569706278,40
5.7,spiral,1357.1260780973585,41
5.8,spiral,1377.1914157683584,39
5.9,spiral,1347.9148929242813,40
6.0,spiral,1333.3391441228518,39
6.1,spiral,1312.6613009876144,40
6.2,spiral,1335.5541311929067,37
6.3,spiral,1299.758151862444,35
6.4,spiral,1284.165099201064,39
6.5,spiral,1275.2000576296732,36
6.6,spiral,1281.0967168551117,38
6.7,spiral,1268.3690379346729,36
6.8,spiral,1259.7821281851984,35
6.9,spiral,1250.9431838512435,35
7.0,spiral,1272.8353711013824,37
7.1,spiral,1218.3183325219786,37
7.2,spiral,1208.0018530989346,34
7.3,spiral,1194.393186781949,33
7.4,spiral,1212.16871068744,35
7.5,spiral,1213.6548346023096,31
7.6,spiral,1183.7384194464228,33
7.7,spiral,1163.3187418562327,32
7.8,spiral,1156.4413893996089,32
7.9,spiral,1176.0144676491989,30
8.0,spiral,1170.878575081662,28
8.1,spiral,1160.6409743603576,27
8.2,spiral,1132.4110691712426,28
8.3,spiral,1142.2511929718275,29
8.4,spiral,1134.005106469295,29
8.5,spiral,1129.8187476822989,33
8.6,spiral,1135.6857180030674,31
8.7,spiral,1118.2775934411627,27
8.8,spiral,1120.8568077716577,29
8.9,spiral,1104.3624906665304,28
9.0,spiral,1102.9819269541974,28
9.1,spiral,1103.8906605925663,28
9.2,spiral,1061.162499590424,29
9.3,spiral,1076.611509503418,27
9.4,spiral,1068.9801007333679,29
9.5,spiral,1061.131777678988,25
9.6,spiral,1062.9641061445864,27
9.7,spiral,1090.207912674384,31
9.8,spiral,1043.1905501216033,27
9.9,spiral,1071.7724447260812,29
10.0,spiral,1019.7083441109155,26
10.1,spiral,1039.7146437176818,27
10.2,spiral,1044.4981826228704,26
10.3,spiral,1048.0277301198068,25
10.4,spiral,1046.26361689781,24
10.5,spiral,1043.8040597574084,26
10.6,spiral,1019.3833260580188,23
10.7,spiral,1013.5468266105426,26
10.8,spiral,1033.5917140107767,26
10.9,spiral,1011.0519349961677,25
11.0,spiral,987.9467370890084,24
11.1,spiral,986.9882175353248,25
11.2,spiral,987.3784302805425,23
11.3,spiral,1009.4798668442951,25
11.4,spiral,999.7566457054104,21
11.5,spiral,1006.3417798514807,23
11.6,spiral,982.9991075383562,20
11.7,spiral,990.3750819607484,21
11.8,spiral,995.667406752429,25
11.9,spiral,975.7763001001617,24
12.0,spiral,986.5552876093667,22
12.1,spiral,963.4572338872466,20
12.2,spiral,965.9240471552714,18
12.3,spiral,962.7222138429894,22
12.4,spiral,945.2490799277844,26
12.5,spiral,972.7655046541405,23
12.6,spiral,952.8205991461922,21
12.7,spiral,958.8075713024527,23
12.8,spiral,964.5909398603063,19
12.9,spiral,961.3708945018723,21
13.0,spiral,962.7461627307408,22
13.1,spiral,946.4715360879907,21
13.2,spiral,938.138206140781,23
13.3,spiral,941.8733428803766,22
13.4,spiral,910.5235025768152,22
13.5,spiral,912.4704940149029,20
13.6,spiral,912.3678775658561,22
13.7,spiral,915.9181702418596,24
13.8,spiral,938.7901389795726,19
13.9,spiral,913.0538949891304,19
14.0,spiral,920.3359311701481,23
14.1,spiral,948.3506483672413,20
14.2,spiral,916.4041499293452,23
14.3,spiral,933.9745809317083,20
14.4,spiral,901.8059928709333,23
14.5,spiral,912.8538480963138,20
14.6,spiral,897.420150956815,20
14.7,spiral,906.4144114365109,23
14.8,spiral,925.6660870147737,19
14.9,spiral,877.4988364093833,18
15.0,spiral,914.4862922504922,19
15.1,spiral,909.0474527625109,20
15.2,spiral,892.2000376395629,17
15.3,spiral,875.0167102549948,21
15.4,spiral,900.5191103596288,18
15.5,spiral,887.8884860755613,21
15.6,spiral,899.8291974454103,15
15.7,spiral,894.2786889378934,18
15.8,spiral,920.9839187779536,16
15.9,spiral,886.1318502778126,18
16.0,spiral,870.3270451328065,19
16.1,spiral,890.3077067708285,18
16.2,spiral,889.3920390769239,18
16.3,spiral,908.269057335923,18
16.4,spiral,897.227124377682,19
16.5,spiral,887.0297396707518,17
16.6,spiral,905.3755966202654,20
16.7,spiral,856.0872949623085,20
16.8,spiral,864.4368533628855,19
16.9,spiral,857.7595028771858,19
17.0,spiral,865.9246000137845,19
17.1,spiral,846.68163764808,22
17.2,spiral,881.4327170426593,18
17.3,spiral,864.5549047470197,17
17.4,spiral,840.6519234805613,17
17.5,spiral,847.43386225255,16
17.6,spiral,869.9614310722852,16
17.7,spiral,878.0241313294434,16
17.8,spiral,897.5141897583173,18
17.9,spiral,912.6729880752828,18
18.0,spiral,866.3482586878569,18
18.1,spiral,839.7573746129071,16
18.2,spiral,817.8869032105728,19
18.3,spiral,859.7914839178175,19
18.4,spiral,839.0627124583272,17
18.5,spiral,844.9560017491981,16
18.6,spiral,840.1650533158481,18
18.7,spiral,847.4122881086762,17
18.8,spiral,867.9110484094967,15
18.9,spiral,850.3401017272438,17
19.0,spiral,843.4603624069878,17
19.1,spiral,826.4891225014914,15
19.2,spiral,813.814040328655,17
19.3,spiral,834.0443850978199,14
19.4,spiral,840.6813986213527,19
19.5,spiral,872.3355589572584,19
19.6,spiral,841.7326964885527,16
19.7,spiral,855.963422873542,17
19.8,spiral,828.1843963980125,12
19.9,spiral,814.7514142145438,15
20.0,spiral,817.6278982798173,16
20.1,spiral,820.8762790970628,15
20.2,spiral,871.1837423125459,18
20.3,spiral,817.0376998724832,20
20.4,spiral,845.8771193927444,14
20.5,spiral,813.5034083554091,15
20.6,spiral,845.5061783094063,17
20.7,spiral,834.6585859889393,19
20.8,spiral,823.9112870729236,14
20.9,spiral,825.0079013238206,17
21.0,spiral,812.9757262441758,19
21.1,spiral,831.8207688209902,13
21.2,spiral,814.6404860331113,14
21.3,spiral,799.81703052449,15
21.4,spiral,797.9317031014992,15
21.5,spiral,823.1065825189982,17
